chart_id,model,question,explanation,vega_lite_spec,spec
0wflwm4jebx7n12y,gpt-5.4-nano,What is the difference between the average and the maximum number?,"1. Calculate the average value.
2. Find the maximum value.
3. Calculate the difference.","{""$schema"":""https://vega.github.io/schema/vega-lite/v3.0.0-rc4.json"",""data"":{""url"":""ChartQA/data/csv/bar/simple/0wflwm4jebx7n12y.csv""},""description"":""Simple Bar chart for 0wflwm4jebx7n12y.csv"",""encoding"":{""x"":{""field"":""Year"",""type"":""nominal""},""y"":{""field"":""Number of fires"",""type"":""quantitative""}},""mark"":""bar""}","{""ops"":[{""field"":""Number of fires"",""id"":""n1"",""meta"":{""inputs"":[],""nodeId"":""n1"",""sentenceIndex"":1,""source"":""recursive_step=1;taskId=o1"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""average""}],""ops2"":[{""field"":""Number of fires"",""id"":""n2"",""meta"":{""inputs"":[],""nodeId"":""n2"",""sentenceIndex"":2,""source"":""recursive_step=2;taskId=o2"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""findExtremum"",""which"":""max""}],""ops3"":[{""field"":""Number of fires"",""id"":""n3"",""meta"":{""inputs"":[""n1"",""n2""],""nodeId"":""n3"",""sentenceIndex"":3,""source"":""recursive_step=3;taskId=o3"",""view"":{""phase"":2}},""op"":""diff"",""signed"":false,""targetA"":""ref:n1"",""targetB"":""ref:n2""}],""text_chunks"":{""ops"":""1. Calculate the average value."",""ops2"":""2. Find the maximum value."",""ops3"":""3. Calculate the difference.""}}"
827lhm2w7n652knp,gpt-5.4-nano,Count all the years that change from increasing to decreasing,"1. Find a difference between the neighboring years(year - previous year)
2. Check whether each year's difference value is positive or negative
3. Count the years where the difference values are negative","{""$schema"":""https://vega.github.io/schema/vega-lite/v5.json"",""config"":{""axis"":{""domainWidth"":1},""view"":{""stroke"":""transparent""}},""data"":{""url"":""ChartQA/data/csv/line/simple/827lhm2w7n652knp.csv""},""description"":""Simple line chart for 827lhm2w7n652knp.csv"",""height"":400,""layer"":[{""encoding"":{""x"":{""axis"":{""labelAngle"":0,""labelFontSize"":11,""labelPadding"":5,""title"":""Year"",""titleFontSize"":13,""titlePadding"":10},""field"":""Year"",""type"":""ordinal""},""y"":{""axis"":{""labelFontSize"":11,""labelPadding"":5,""title"":""Number of immigrants in millions"",""titleFontSize"":13,""titlePadding"":10},""field"":""Number of immigrants in millions"",""type"":""quantitative""}},""mark"":{""point"":false,""tooltip"":true,""type"":""line""}},{""encoding"":{""tooltip"":[{""field"":""Year"",""title"":""Year"",""type"":""ordinal""},{""field"":""Number of immigrants in millions"",""title"":""Number of immigrants in millions"",""type"":""quantitative""}],""x"":{""field"":""Year"",""type"":""ordinal""},""y"":{""field"":""Number of immigrants in millions"",""type"":""quantitative""}},""mark"":{""filled"":true,""size"":80,""tooltip"":true,""type"":""point""}}],""width"":600}","{""ops"":[{""field"":""Number of immigrants in millions"",""id"":""n1"",""meta"":{""inputs"":[],""nodeId"":""n1"",""sentenceIndex"":1,""source"":""recursive_step=1;taskId=o1"",""view"":{""phase"":1}},""op"":""lagDiff"",""order"":""asc""}],""ops3"":[{""field"":""Number of immigrants in millions"",""id"":""n2"",""meta"":{""inputs"":[""n1""],""nodeId"":""n2"",""sentenceIndex"":3,""source"":""recursive_step=2;taskId=o2"",""view"":{""phase"":2}},""op"":""filter"",""operator"":""<"",""value"":0},{""field"":""Number of immigrants in millions"",""id"":""n3"",""meta"":{""inputs"":[""n2""],""nodeId"":""n3"",""sentenceIndex"":3,""source"":""recursive_step=3;taskId=o3"",""view"":{""phase"":3}},""op"":""count""}],""text_chunks"":{""ops"":""1. Find a difference between the neighboring years(year - previous year)"",""ops3"":""3. Count the years where the difference values are negative""}}"
1jgaguuh4rqlk7sq,gpt-5.4-nano,What is the difference of the sum of sales between the first six years and the last six years?,"1. Sum the numbers: first rage: 2008 to  2013, second range: 2014 to 2019
2. Subtract the two numbers and find the difference","{""$schema"":""https://vega.github.io/schema/vega-lite/v3.0.0-rc4.json"",""data"":{""url"":""ChartQA/data/csv/bar/simple/1jgaguuh4rqlk7sq.csv""},""description"":""Simple Bar chart for 1jgaguuh4rqlk7sq.csv"",""encoding"":{""x"":{""field"":""Year"",""type"":""nominal""},""y"":{""field"":""Sales volume in tonnes"",""type"":""quantitative""}},""mark"":""bar""}","{""ops"":[{""field"":""Year"",""id"":""n1"",""meta"":{""inputs"":[],""nodeId"":""n1"",""sentenceIndex"":1,""source"":""recursive_step=1;taskId=o1"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""filter"",""operator"":""between"",""value"":[""2008"",""2013""],""xKindHint"":""temporal""},{""field"":""Sales volume in tonnes"",""id"":""n2"",""meta"":{""inputs"":[""n1""],""nodeId"":""n2"",""sentenceIndex"":1,""source"":""recursive_step=2;taskId=o2"",""view"":{""parallelGroup"":""p2"",""phase"":2}},""op"":""sum""},{""field"":""Year"",""id"":""n3"",""meta"":{""inputs"":[],""nodeId"":""n3"",""sentenceIndex"":1,""source"":""recursive_step=3;taskId=o3"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""filter"",""operator"":""between"",""value"":[""2014"",""2019""]},{""field"":""Sales volume in tonnes"",""id"":""n4"",""meta"":{""inputs"":[""n1""],""nodeId"":""n4"",""sentenceIndex"":1,""source"":""recursive_step=4;taskId=o4"",""view"":{""parallelGroup"":""p2"",""phase"":2}},""op"":""sum""}],""ops2"":[{""field"":""Sales volume in tonnes"",""id"":""n5"",""meta"":{""inputs"":[""n2"",""n4""],""nodeId"":""n5"",""sentenceIndex"":2,""source"":""recursive_step=5;taskId=o5"",""view"":{""phase"":3}},""op"":""diff"",""signed"":false,""targetA"":""ref:n2"",""targetB"":""ref:n4""}],""text_chunks"":{""ops"":""Sum the numbers: first rage: 2008 to 2013, second range: 2014 to 2019"",""ops2"":""Subtract the two numbers and find the difference""}}"
rx7zzpt8c0ue86y3,gpt-5.4-nano,"For the years when the unfavorable ratting of China among Americans exceeded 50%, what was the average favorable ratio?","Filter the years in which unfavorable rating of US views toward China is bigger than 50.
Calculate the average favorable ratio across those years.","{""$schema"":""https://vega.github.io/schema/vega-lite/v5.json"",""config"":{""axis"":{""domainWidth"":1},""view"":{""stroke"":""transparent""}},""data"":{""url"":""ChartQA/data/csv/line/multiple/rx7zzpt8c0ue86y3.csv""},""description"":""Multiple line chart for rx7zzpt8c0ue86y3.csv"",""height"":400,""layer"":[{""encoding"":{""color"":{""field"":""Type"",""legend"":{""labelFontSize"":11,""title"":""Type"",""titleFontSize"":12},""type"":""nominal""},""x"":{""axis"":{""labelAngle"":0,""labelFontSize"":11,""labelPadding"":5,""title"":""Year"",""titleFontSize"":13,""titlePadding"":10},""field"":""Year"",""type"":""ordinal""},""y"":{""axis"":{""labelFontSize"":11,""labelPadding"":5,""title"":""Favorability ratio of US on China(%)"",""titleFontSize"":13,""titlePadding"":10},""field"":""Favorability ratio of US on China(%)"",""type"":""quantitative""}},""mark"":{""point"":false,""tooltip"":true,""type"":""line""}},{""encoding"":{""color"":{""field"":""Type"",""type"":""nominal""},""tooltip"":[{""field"":""Year"",""title"":""Year"",""type"":""ordinal""},{""field"":""Type"",""title"":""Type"",""type"":""nominal""},{""field"":""Favorability ratio of US on China(%)"",""title"":""Favorability ratio of US on China(%)"",""type"":""quantitative""}],""x"":{""field"":""Year"",""type"":""ordinal""},""y"":{""field"":""Favorability ratio of US on China(%)"",""type"":""quantitative""}},""mark"":{""filled"":true,""size"":80,""tooltip"":true,""type"":""point""}}],""width"":600}","{""ops"":[{""field"":""Favorability ratio of US on China(%)"",""group"":""Unfavorable"",""id"":""n1"",""meta"":{""inputs"":[],""nodeId"":""n1"",""sentenceIndex"":1,""source"":""recursive_step=1;taskId=o1"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""filter"",""operator"":"">"",""value"":50}],""ops2"":[{""field"":""Favorability ratio of US on China(%)"",""group"":""Favorable"",""id"":""n2"",""meta"":{""inputs"":[],""nodeId"":""n2"",""sentenceIndex"":2,""source"":""recursive_step=2;taskId=o2"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""average""}],""text_chunks"":{""ops"":""Filter the years in which unfavorable rating of US views toward China is bigger than 50."",""ops2"":""Calculate the average favorable ratio across those years.""}}"
1qm2z3ooawf339jz,gpt-5.4-nano,Which of the total responses is greater when comparing the value of East with the value of Scotland?,"Add East and Scotland values for each response
Compare the additional values.","{""$schema"":""https://vega.github.io/schema/vega-lite/v3.json"",""config"":{""axis"":{""domainWidth"":1},""view"":{""stroke"":""transparent""}},""data"":{""url"":""ChartQA/data/csv/bar/grouped/1qm2z3ooawf339jz.csv""},""description"":""Grouped bar chart for 1qm2z3ooawf339jz.csv"",""encoding"":{""color"":{""field"":""Region"",""type"":""nominal""},""column"":{""field"":""Response Category"",""header"":{},""type"":""ordinal""},""x"":{""axis"":{""title"":""""},""field"":""Region"",""type"":""nominal""},""y"":{""axis"":{""grid"":false},""field"":""Share of respondents"",""type"":""quantitative""}},""mark"":""bar""}","{""ops"":[{""field"":""Share of respondents"",""group"":[""East"",""Scotland""],""id"":""n1"",""meta"":{""inputs"":[],""nodeId"":""n1"",""sentenceIndex"":1,""source"":""recursive_step=1;taskId=o1"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""sum""},{""field"":""Share of respondents"",""group"":""East"",""id"":""n2"",""meta"":{""inputs"":[],""nodeId"":""n2"",""sentenceIndex"":1,""source"":""recursive_step=2;taskId=o2"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""sum""},{""field"":""Share of respondents"",""group"":""Scotland"",""id"":""n3"",""meta"":{""inputs"":[],""nodeId"":""n3"",""sentenceIndex"":1,""source"":""recursive_step=3;taskId=o3"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""sum""}],""ops2"":[{""field"":""Share of respondents"",""id"":""n4"",""meta"":{""inputs"":[""n2"",""n3""],""nodeId"":""n4"",""sentenceIndex"":2,""source"":""recursive_step=4;taskId=o4"",""view"":{""phase"":2}},""op"":""diff"",""signed"":true,""targetA"":""ref:n2"",""targetB"":""ref:n3""}],""text_chunks"":{""ops"":""Add East and Scotland values for each response"",""ops2"":""Compare the additional values.""}}"
72yqb8jwj9a6g4nx,gpt-5.4-nano,What is the difference between the average from 2011 and the average up to 2010?,"1. Calculate the average from 2011 to 2015.
2. Calculate the average from 2005 to 2010.
3. Calculate the difference.","{""$schema"":""https://vega.github.io/schema/vega-lite/v5.json"",""config"":{""axis"":{""domainWidth"":1},""view"":{""stroke"":""transparent""}},""data"":{""url"":""ChartQA/data/csv/line/simple/72yqb8jwj9a6g4nx.csv""},""description"":""Simple line chart for 72yqb8jwj9a6g4nx.csv"",""height"":400,""layer"":[{""encoding"":{""x"":{""axis"":{""labelAngle"":0,""labelFontSize"":11,""labelPadding"":5,""title"":""Year"",""titleFontSize"":13,""titlePadding"":10},""field"":""Year"",""type"":""ordinal""},""y"":{""axis"":{""labelFontSize"":11,""labelPadding"":5,""title"":""Percentage of internet users"",""titleFontSize"":13,""titlePadding"":10},""field"":""Percentage of internet users"",""type"":""quantitative""}},""mark"":{""point"":false,""tooltip"":true,""type"":""line""}},{""encoding"":{""tooltip"":[{""field"":""Year"",""title"":""Year"",""type"":""ordinal""},{""field"":""Percentage of internet users"",""title"":""Percentage of internet users"",""type"":""quantitative""}],""x"":{""field"":""Year"",""type"":""ordinal""},""y"":{""field"":""Percentage of internet users"",""type"":""quantitative""}},""mark"":{""filled"":true,""size"":80,""tooltip"":true,""type"":""point""}}],""width"":600}","{""ops"":[{""field"":""Year"",""id"":""n1"",""meta"":{""inputs"":[],""nodeId"":""n1"",""sentenceIndex"":1,""source"":""recursive_step=1;taskId=o1"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""filter"",""operator"":""between"",""value"":[""2011"",""2015""],""xKindHint"":""ordinal""},{""field"":""Percentage of internet users"",""id"":""n2"",""meta"":{""inputs"":[""n1""],""nodeId"":""n2"",""sentenceIndex"":1,""source"":""recursive_step=2;taskId=o2"",""view"":{""parallelGroup"":""p2"",""phase"":2}},""op"":""average""}],""ops2"":[{""field"":""Year"",""id"":""n3"",""meta"":{""inputs"":[],""nodeId"":""n3"",""sentenceIndex"":2,""source"":""recursive_step=3;taskId=o3"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""filter"",""operator"":""between"",""value"":[""2005"",""2010""],""xKindHint"":""ordinal""},{""field"":""Percentage of internet users"",""id"":""n4"",""meta"":{""inputs"":[""n3""],""nodeId"":""n4"",""sentenceIndex"":2,""source"":""recursive_step=4;taskId=o4"",""view"":{""parallelGroup"":""p2"",""phase"":2}},""op"":""average""}],""ops3"":[{""field"":""Percentage of internet users"",""id"":""n5"",""meta"":{""inputs"":[""n2"",""n4""],""nodeId"":""n5"",""sentenceIndex"":3,""source"":""recursive_step=5;taskId=o5"",""view"":{""phase"":3}},""op"":""diff"",""signed"":false,""targetA"":""ref:n2"",""targetB"":""ref:n4""}],""text_chunks"":{""ops"":""Calculate the average from 2011 to 2015."",""ops2"":""Calculate the average from 2005 to 2010."",""ops3"":""Calculate the difference.""}}"
bnil22qu3wwatrc7,gpt-5.4-nano,"According to this chart, what is the difference between the average number of ""A better place to live"" opinion of Western Europe and the rest?","1. Define Western Europe: Netherlands, Germany, UK, France
2. Find the average number of ""A better place to live"" opinion of Western Europe and the rest.
3. Find the difference of the two numbers","{""$schema"":""https://vega.github.io/schema/vega-lite/v3.0.0-rc4.json"",""data"":{""url"":""ChartQA/data/csv/bar/stacked/bnil22qu3wwatrc7.csv""},""description"":""Stacked Bar chart for bnil22qu3wwatrc7.csv"",""encoding"":{""color"":{""field"":""Opinion"",""type"":""nominal""},""x"":{""field"":""Country"",""type"":""nominal""},""y"":{""field"":""Percentage"",""type"":""quantitative""}},""mark"":""bar""}","{""ops"":[{""field"":""Country"",""id"":""n1"",""include"":[""France"",""Germany"",""Netherlands"",""UK""],""meta"":{""inputs"":[],""nodeId"":""n1"",""sentenceIndex"":1,""source"":""recursive_step=1;taskId=o1"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""filter""}],""ops2"":[{""field"":""Percentage"",""group"":""A better place to live"",""id"":""n2"",""meta"":{""inputs"":[""n1""],""nodeId"":""n2"",""sentenceIndex"":2,""source"":""recursive_step=2;taskId=o2"",""view"":{""parallelGroup"":""p2"",""phase"":2}},""op"":""average""},{""exclude"":[""France"",""Germany"",""Netherlands"",""UK""],""field"":""Country"",""id"":""n3"",""meta"":{""inputs"":[],""nodeId"":""n3"",""sentenceIndex"":2,""source"":""recursive_step=3;taskId=o3"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""filter""},{""field"":""Percentage"",""group"":""A better place to live"",""id"":""n4"",""meta"":{""inputs"":[""n3""],""nodeId"":""n4"",""sentenceIndex"":2,""source"":""recursive_step=4;taskId=o4"",""view"":{""parallelGroup"":""p2"",""phase"":2}},""op"":""average""}],""ops3"":[{""field"":""Percentage"",""id"":""n5"",""meta"":{""inputs"":[""n2"",""n4""],""nodeId"":""n5"",""sentenceIndex"":3,""source"":""recursive_step=5;taskId=o5"",""view"":{""phase"":3}},""op"":""diff"",""signed"":true,""targetA"":""ref:n2"",""targetB"":""ref:n4""}],""text_chunks"":{""ops"":""Define Western Europe: Netherlands, Germany, UK, France"",""ops2"":""Find the average number of \""A better place to live\"" opinion of Western Europe and the rest."",""ops3"":""Find the difference of the two numbers""}}"
0gacqohbzj07n25s,gpt-5.4-nano,What is the difference between the average of surgical values in European countries and the average of surgical values in Asian countries?,"1. European countries identified
2. Obtain the average of the surgical values of European countries
3. Check out Asian countries
4. Find the average of the surgical values of Asian countries
5. Subtract smaller values from larger values","{""$schema"":""https://vega.github.io/schema/vega-lite/v3.json"",""config"":{""axis"":{""domainWidth"":1},""view"":{""stroke"":""transparent""}},""data"":{""url"":""ChartQA/data/csv/bar/grouped/0gacqohbzj07n25s.csv""},""description"":""Grouped bar chart for 0gacqohbzj07n25s.csv"",""encoding"":{""color"":{""field"":""Procedure Type"",""type"":""nominal""},""column"":{""field"":""Country"",""header"":{},""type"":""ordinal""},""x"":{""axis"":{""title"":""""},""field"":""Procedure Type"",""type"":""nominal""},""y"":{""axis"":{""grid"":false},""field"":""Number of procedures"",""type"":""quantitative""}},""mark"":""bar""}","{""ops"":[{""field"":""Country"",""id"":""n1"",""include"":[""Brazil"",""France"",""Germany"",""Italy"",""Russia"",""Turkey""],""meta"":{""inputs"":[],""nodeId"":""n1"",""sentenceIndex"":1,""source"":""recursive_step=1;taskId=o1"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""filter""}],""ops2"":[{""field"":""Number of procedures"",""group"":""Surgical"",""id"":""n2"",""meta"":{""inputs"":[""n1""],""nodeId"":""n2"",""sentenceIndex"":2,""source"":""recursive_step=2;taskId=o2"",""view"":{""parallelGroup"":""p2"",""phase"":2}},""op"":""average""}],""ops3"":[{""field"":""Country"",""id"":""n3"",""include"":[""India"",""Japan""],""meta"":{""inputs"":[],""nodeId"":""n3"",""sentenceIndex"":3,""source"":""recursive_step=3;taskId=o3"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""filter""}],""ops4"":[{""field"":""Number of procedures"",""group"":""Surgical"",""id"":""n4"",""meta"":{""inputs"":[""n3""],""nodeId"":""n4"",""sentenceIndex"":4,""source"":""recursive_step=4;taskId=o4"",""view"":{""parallelGroup"":""p2"",""phase"":2}},""op"":""average""}],""ops5"":[{""field"":""Number of procedures"",""id"":""n5"",""meta"":{""inputs"":[""n2"",""n4""],""nodeId"":""n5"",""sentenceIndex"":5,""source"":""recursive_step=5;taskId=o5"",""view"":{""phase"":3}},""op"":""diff"",""signed"":false,""targetA"":""ref:n2"",""targetB"":""ref:n4""}],""text_chunks"":{""ops"":""European countries identified"",""ops2"":""Obtain the average of the surgical values of European countries"",""ops3"":""Check out Asian countries"",""ops4"":""Find the average of the surgical values of Asian countries"",""ops5"":""Subtract smaller values from larger values""}}"
7w9v4fsbg5ydxsr2,gpt-5.4-nano,Find the difference between the average percentage of even and odd years,"1. Retrieve the even years' percentage value
2. calculate the average of them
3. Retrieve the odd years' percentage value
4. Calculate the average of them
5. Get the difference between even years' average and odd   years' average","{""$schema"":""https://vega.github.io/schema/vega-lite/v5.json"",""config"":{""axis"":{""domainWidth"":1},""view"":{""stroke"":""transparent""}},""data"":{""url"":""ChartQA/data/csv/line/simple/7w9v4fsbg5ydxsr2.csv""},""description"":""Simple line chart for 7w9v4fsbg5ydxsr2.csv"",""height"":400,""layer"":[{""encoding"":{""x"":{""axis"":{""labelAngle"":0,""labelFontSize"":11,""labelPadding"":5,""title"":""Year"",""titleFontSize"":13,""titlePadding"":10},""field"":""Year"",""type"":""ordinal""},""y"":{""axis"":{""labelFontSize"":11,""labelPadding"":5,""title"":""Percentage of gross domestic product"",""titleFontSize"":13,""titlePadding"":10},""field"":""Percentage of gross domestic product"",""type"":""quantitative""}},""mark"":{""point"":false,""tooltip"":true,""type"":""line""}},{""encoding"":{""tooltip"":[{""field"":""Year"",""title"":""Year"",""type"":""ordinal""},{""field"":""Percentage of gross domestic product"",""title"":""Percentage of gross domestic product"",""type"":""quantitative""}],""x"":{""field"":""Year"",""type"":""ordinal""},""y"":{""field"":""Percentage of gross domestic product"",""type"":""quantitative""}},""mark"":{""filled"":true,""size"":80,""tooltip"":true,""type"":""point""}}],""width"":600}","{""ops"":[{""field"":""Year"",""id"":""n1"",""include"":[""2010"",""2012"",""2014"",""2016"",""2018""],""meta"":{""inputs"":[],""nodeId"":""n1"",""sentenceIndex"":1,""source"":""recursive_step=1;taskId=o1"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""filter""}],""ops2"":[{""field"":""Percentage of gross domestic product"",""id"":""n2"",""meta"":{""inputs"":[""n1""],""nodeId"":""n2"",""sentenceIndex"":2,""source"":""recursive_step=2;taskId=o2"",""view"":{""parallelGroup"":""p2"",""phase"":2}},""op"":""average""}],""ops3"":[{""field"":""Year"",""id"":""n3"",""include"":[""2009"",""2011"",""2013"",""2015"",""2017""],""meta"":{""inputs"":[],""nodeId"":""n3"",""sentenceIndex"":3,""source"":""recursive_step=3;taskId=o3"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""filter""}],""ops4"":[{""field"":""Percentage of gross domestic product"",""id"":""n4"",""meta"":{""inputs"":[""n1""],""nodeId"":""n4"",""sentenceIndex"":4,""source"":""recursive_step=4;taskId=o4"",""view"":{""parallelGroup"":""p2"",""phase"":2}},""op"":""average""}],""ops5"":[{""field"":""Percentage of gross domestic product"",""id"":""n5"",""meta"":{""inputs"":[""n2"",""n4""],""nodeId"":""n5"",""sentenceIndex"":5,""source"":""recursive_step=5;taskId=o5"",""view"":{""phase"":3}},""op"":""diff"",""signed"":true,""targetA"":""ref:n2"",""targetB"":""ref:n4""}],""text_chunks"":{""ops"":""Retrieve the even years' percentage value"",""ops2"":""calculate the average of them"",""ops3"":""Retrieve the odd years' percentage value"",""ops4"":""Calculate the average of them"",""ops5"":""Get the difference between even years' average and odd years' average""}}"
g1s9b91z7xw8flg2,gpt-5.4-nano,What is the difference between the average beer sales before 2012 and after including 2012?,"Calculate the average beer sales for the years before 2012.
Calculate the average beer sales for the years after including 2012.
Compute the difference between the two averages.","{""$schema"":""https://vega.github.io/schema/vega-lite/v5.json"",""config"":{""axis"":{""domainWidth"":1},""view"":{""stroke"":""transparent""}},""data"":{""url"":""ChartQA/data/csv/line/simple/g1s9b91z7xw8flg2.csv""},""description"":""Simple line chart for g1s9b91z7xw8flg2.csv"",""height"":400,""layer"":[{""encoding"":{""x"":{""axis"":{""labelAngle"":0,""labelFontSize"":11,""labelPadding"":5,""title"":""Year"",""titleFontSize"":13,""titlePadding"":10},""field"":""Year"",""type"":""ordinal""},""y"":{""axis"":{""labelFontSize"":11,""labelPadding"":5,""title"":""Beer sales in million hectoliters"",""titleFontSize"":13,""titlePadding"":10},""field"":""Beer sales in million hectoliters"",""type"":""quantitative""}},""mark"":{""point"":false,""tooltip"":true,""type"":""line""}},{""encoding"":{""tooltip"":[{""field"":""Year"",""title"":""Year"",""type"":""ordinal""},{""field"":""Beer sales in million hectoliters"",""title"":""Beer sales in million hectoliters"",""type"":""quantitative""}],""x"":{""field"":""Year"",""type"":""ordinal""},""y"":{""field"":""Beer sales in million hectoliters"",""type"":""quantitative""}},""mark"":{""filled"":true,""size"":80,""tooltip"":true,""type"":""point""}}],""width"":600}","{""ops"":[{""field"":""Year"",""id"":""n1"",""meta"":{""inputs"":[],""nodeId"":""n1"",""sentenceIndex"":1,""source"":""recursive_step=1;taskId=o1"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""filter"",""operator"":""between"",""value"":[""2008"",""2011""],""xKindHint"":""ordinal""},{""field"":""Beer sales in million hectoliters"",""id"":""n2"",""meta"":{""inputs"":[""n1""],""nodeId"":""n2"",""sentenceIndex"":1,""source"":""recursive_step=2;taskId=o2"",""view"":{""parallelGroup"":""p2"",""phase"":2}},""op"":""average""}],""ops2"":[{""field"":""Year"",""id"":""n3"",""meta"":{""inputs"":[],""nodeId"":""n3"",""sentenceIndex"":2,""source"":""recursive_step=3;taskId=o3"",""view"":{""parallelGroup"":""p1"",""phase"":1}},""op"":""filter"",""operator"":""between"",""value"":[""2012"",""2015""],""xKindHint"":""ordinal""},{""field"":""Beer sales in million hectoliters"",""id"":""n4"",""meta"":{""inputs"":[""n3""],""nodeId"":""n4"",""sentenceIndex"":2,""source"":""recursive_step=4;taskId=o4"",""view"":{""parallelGroup"":""p2"",""phase"":2}},""op"":""average""}],""ops3"":[{""field"":""Beer sales in million hectoliters"",""id"":""n5"",""meta"":{""inputs"":[""n2"",""n4""],""nodeId"":""n5"",""sentenceIndex"":3,""source"":""recursive_step=5;taskId=o5"",""view"":{""phase"":3}},""op"":""diff"",""signed"":false,""targetA"":""ref:n2"",""targetB"":""ref:n4""}],""text_chunks"":{""ops"":""Calculate the average beer sales for the years before 2012."",""ops2"":""Calculate the average beer sales for the years after including 2012."",""ops3"":""Compute the difference between the two averages.""}}"
